index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
5034,大神宮下,"4,310","117,906","59,374",50.36,"14,946","82,318","19,666","109,290","56,260","24,465",43.49,"1,032","25,225,098","4,961",505,"10,235",9.09,7.35,13.64,20.08,15.29,11.06,12.12,7.66,3.72,59.79,33.53,"64,255"
5035,船橋競馬場,"19,198","120,112","60,322",50.22,"15,583","84,394","19,302","108,303","56,087","23,166",41.3,"1,018","23,060,694","4,792",497,"11,556",9.25,7.67,13.55,19.89,15.36,11.36,12.01,7.34,3.57,60.9,32.71,"61,769"
5036,谷津,"10,864","125,032","62,713",50.16,"16,439","87,036","21,037","100,085","56,804","21,666",38.14,947,"16,030,025","3,843",349,"15,876",9.19,8.13,13.33,19.08,15.16,11.33,12.45,7.8,3.53,63.46,31.57,"46,105"
5037,京成津田沼,"56,213","138,655","70,064",50.53,"18,347","94,611","24,914","93,942","61,538","22,570",36.68,677,"10,958,176","3,264",271,"14,992",9,8.73,13.45,17.65,15.17,11.1,12.71,8.48,3.72,53.32,41.51,"34,377"
5038,京成大久保,"32,240","119,166","60,922",51.12,"16,396","79,289","22,034","83,269","51,365","18,097",35.23,428,"4,956,820","2,330",184,"21,854",9.17,9.94,12.86,16.4,15.23,10.77,13.19,8.62,3.83,42.99,50.7,"22,491"
5039,実籾,"23,321","87,247","44,270",50.74,"11,651","56,613","18,143","69,787","36,468","11,665",31.99,413,"6,534,345","2,152",166,"19,856",8.68,10.12,11.79,15.14,14.48,11.16,14.78,9.88,3.98,46,43.83,"20,307"
5040,八千代台,"45,972","89,729","44,308",49.38,"10,517","55,249","22,691","60,954","37,519","10,275",27.39,492,"6,036,696","2,351",186,"7,780",7.81,8.3,10.45,14.98,13.18,11.18,17,12.53,4.56,52.64,39.43,"19,244"
5041,京成大和田,"12,244","84,532","41,665",49.29,"11,923","53,941","18,477","61,794","34,494","9,556",27.7,535,"7,739,707","2,613",230,"9,175",9.51,8.9,10.71,16.29,14.25,10.86,14.86,10.54,4.07,49.53,39.44,"22,019"
5042,勝田台,"53,652","86,931","42,771",49.2,"12,497","56,392","17,909","57,840","34,955","9,202",26.33,460,"7,301,564","2,261",206,"7,222",9.44,9.7,10.33,15.73,14.6,11.68,15.22,9.92,3.38,52.17,36.52,"19,960"
5043,志津,"16,438","86,937","42,418",48.79,"12,006","55,716","19,212","56,782","33,646","7,304",21.71,449,"5,312,864","2,180",207,"6,495",8.89,9.75,9.92,14.51,14.2,12.19,16.37,10.63,3.54,49.44,43.43,"19,059"
5044,ユーカリが丘,"21,357","64,145","31,118",48.51,"8,389","41,229","14,524","40,057","24,593","4,895",19.9,324,"4,458,919","1,330",129,"4,717",8.37,9.26,9.99,14.01,13.32,12.84,18.22,10.26,3.72,47.53,41.67,"11,735"
5045,京成臼井,"21,124","40,203","19,675",48.94,"5,076","26,265","8,866","26,397","14,927","2,666",17.86,237,"3,747,823",916,76,"3,752",8.04,9.37,10.29,13.04,12.22,14.52,19.13,9.25,4.14,47.26,38.4,"7,783"
5046,京成佐倉,"19,003","28,427","13,901",48.9,"3,142","17,936","7,348","25,526","11,700","3,468",29.64,235,"1,646,911","1,052",86,"4,037",7.57,7.26,10.66,14.29,11.96,13.2,17.64,10.58,6.84,47.23,44.26,"10,847"
5047,大佐倉,408,"22,010","10,769",48.93,"2,427","14,163","5,401","15,700","8,700","2,216",25.47,112,"1,559,853",489,35,"3,611",7.12,8.62,11.26,13.49,11.65,13.35,19.01,10.52,4.98,43.75,38.39,"3,836"
5048,京成酒々井,"6,504","18,936","9,547",50.42,"2,412","12,531","3,927","12,878","7,537","2,224",29.51,100,"1,225,831",459,44,"2,861",8.69,10.26,12.55,15.38,11,11.55,18.14,8.97,3.46,39,46,"3,278"
5049,宗吾参道,"2,582","16,465","8,323",50.55,"2,505","11,405","2,418","12,137","7,110","2,902",40.82,139,"2,642,274",566,64,"2,336",10.99,9.57,15.73,18.13,13.34,11.03,11.25,6.6,3.36,51.08,34.53,"5,257"
5050,公津の杜,"10,134","42,286","21,008",49.68,"7,078","29,227","5,577","29,890","18,378","7,060",38.42,291,"5,881,216","1,196",122,"4,717",11.8,9.46,15.18,18.94,14.11,11.22,10.69,5.8,2.79,49.14,38.14,"12,968"
5051,京成成田,"34,871","50,303","24,980",49.66,"7,017","35,144","7,669","47,116","22,685","9,270",40.86,497,"6,971,550","2,224",252,"7,736",9.27,9.44,15.2,16.77,13.86,12.93,12.32,6.68,3.53,52.92,36.42,"24,232"
5052,空港第2ビル,"21,111",651,340,52.23,29,400,224,"22,318",108,27,25,107,"1,407,038",444,50,0,2.13,4.73,6.4,8.99,13.57,18.45,19.51,16.31,9.91,47.66,49.53,"21,880"
5053,成田空港,"21,432","1,696","1,035",61.03,169,"1,283",208,"23,982",951,634,66.67,109,"1,404,118",536,54,108,7.29,7.59,29.48,16.34,10.49,10.91,8.74,5.67,3.5,45.87,49.54,"23,437"
5054,京成津田沼,"56,213","138,655","70,064",50.53,"18,347","94,611","24,914","93,942","61,538","22,570",36.68,677,"10,958,176","3,264",271,"14,992",9,8.73,13.45,17.65,15.17,11.1,12.71,8.48,3.72,53.32,41.51,"34,377"
5055,京成幕張本郷,"14,693","110,791","55,812",50.38,"15,575","72,846","19,560","72,664","47,430","15,614",32.92,415,"6,452,738","2,186",175,"14,661",9.73,9.36,12.22,17.66,15.59,10.68,12.64,8.45,3.67,45.54,46.51,"23,558"
5056,京成幕張,"7,737","89,272","44,303",49.63,"12,515","57,229","15,228","92,113","37,813","11,680",30.89,433,"15,153,317","2,348",209,"18,657",9.72,9.67,10.74,17.39,16.72,11.14,12.63,7.95,4.06,53.58,37.41,"45,953"
5057,検見川,"3,751","109,495","54,011",49.33,"13,749","69,823","21,669","74,965","46,362","13,751",29.66,408,"6,975,172","2,064",162,"15,623",8.47,8.96,10.31,15.62,15.01,12.46,15.81,9.3,4.06,48.28,42.89,"22,272"
5058,京成稲毛,"6,480","138,475","68,899",49.76,"16,728","89,316","27,063","101,711","62,452","22,813",36.53,712,"10,561,230","3,131",260,"23,613",8.39,8.47,11.62,15.97,14.37,12.42,15.65,9.39,3.73,45.93,47.05,"32,265"
5059,みどり台,"6,911","125,014","62,585",50.06,"14,975","81,204","23,721","123,241","60,000","26,395",43.99,849,"12,321,894","4,234",371,"32,908",8.39,8.9,13.19,15.82,14.48,12.08,13.93,9.08,4.13,48.06,44.64,"51,160"
