駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8889,奈井江,582,"1,124",516,45.91,107,560,457,"1,263",482,164,34,24,"166,616",120,5,14,5.6,7.47,4.36,10.77,9.79,13.26,16.9,16.55,15.3,54.17,33.33,704
8890,豊沼,44,324,149,45.99,34,175,117,913,152,54,36,1,"29,705",32,1,160,5.5,9.48,6.42,9.17,9.17,13.76,19.27,15.29,11.93,0,0,581
8891,砂川,"1,356","1,625",744,45.78,180,920,525,"2,178",764,333,44,53,"287,308",239,27,40,7.88,5.78,10.77,13.35,9.48,12.68,14.22,12.92,12.92,54.72,33.96,"1,519"
8892,滝川,"3,338","1,275",591,46.35,139,744,388,"2,020",602,255,42,57,"301,432",256,26,11,7.4,6.61,9.36,12.43,12.12,14,14.32,13.3,10.46,66.67,31.58,"1,472"
8893,江部乙,58,777,356,45.82,75,416,292,666,343,99,29,18,"65,287",62,1,0,5.24,8.94,5.24,9.32,10.86,11.88,19.41,18.39,10.73,50,33.33,249
8894,妹背牛,72,815,388,47.61,60,412,347,"1,004",379,120,32,17,"59,048",75,5,33,4.27,5.73,6.83,7.68,9.15,13.78,20.24,19.76,12.56,52.94,35.29,545
8895,深川,"1,906","1,980",888,44.85,205,"1,107",668,"3,285",936,363,39,94,"715,810",366,31,56,7.32,7.02,8.64,11.26,9.8,13.23,16.26,15.3,11.16,60.64,36.17,"2,386"
8896,納内,52,719,324,45.06,53,342,323,797,288,81,28,10,"40,254",44,4,19,4.46,6.13,5.01,8.64,10.17,12.67,16.85,17.55,18.52,50,40,357
8897,伊納,255,18,8,44.44,0,10,12,20,7,2,29,0,0,2,0,5,0,0,9.52,0,9.52,23.81,4.76,28.57,23.81,0,0,7
8898,近文,60,"1,821",825,45.3,208,"1,065",534,"2,430",804,273,34,29,"502,166",87,9,450,7.25,7.53,10.35,15,11.07,11.57,13.61,12.51,11.12,62.07,31.03,"1,167"
8899,旭川,"8,860","1,564",676,43.22,142,934,462,"9,131",900,509,57,176,"3,389,721",936,101,11,6.12,5.6,10.61,12.49,12.75,13.53,16.59,12.69,9.63,73.86,23.3,"8,621"
8900,池田園,6,98,46,46.94,10,68,39,61,34,5,15,0,0,2,1,0,2.59,10.34,4.31,12.07,10.34,12.07,25,9.48,13.79,0,0,7
8901,流山温泉,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8902,銚子口,16,37,14,37.84,1,21,18,27,18,7,39,0,0,2,0,0,2.5,2.5,7.5,5,7.5,15,25,25,10,0,0,6
8903,鹿部,118,86,44,51.16,0,36,50,50,44,5,11,0,0,3,0,0,0,0,1.16,1.16,2.33,9.3,56.98,25.58,3.49,0,0,13
8904,渡島沼尻,6,24,12,50,3,14,6,13,7,2,29,0,0,0,0,0,4.35,21.74,0,13.04,8.7,13.04,21.74,13.04,4.35,0,0,0
8905,渡島砂原,48,276,140,50.72,22,175,80,219,98,25,26,9,"33,731",12,0,0,5.45,7.27,8.36,12,9.82,16,20.36,10.18,10.55,66.67,22.22,48
8906,掛澗,24,260,122,46.92,31,154,89,282,101,30,30,2,0,15,1,0,7.69,8.06,5.49,11.72,10.62,15.02,15.38,15.75,10.26,50,0,126
8907,尾白内,28,506,229,45.26,51,315,140,504,211,78,37,6,"16,713",24,0,0,5.95,7.34,10.91,10.52,12.1,14.09,17.26,13.49,8.33,50,66.67,184
8908,東森,25,"1,059",493,46.55,133,633,293,912,467,158,34,8,"48,895",44,0,0,7.66,9.17,8.22,12.38,12.19,13.52,16.73,13.42,6.71,25,62.5,384
8909,深川,"2,299","1,980",888,44.85,205,"1,107",668,"3,285",936,363,39,94,"715,810",366,31,56,7.32,7.02,8.64,11.26,9.8,13.23,16.26,15.3,11.16,60.64,36.17,"2,386"
8910,北一已,6,44,22,50,2,21,22,38,18,2,11,0,0,0,0,0,0,6.67,8.89,2.22,6.67,17.78,15.56,26.67,15.56,0,0,1
8911,秩父別,106,501,237,47.31,47,275,181,529,224,75,33,9,"111,825",35,2,7,5.77,7.36,8.15,11.93,10.93,12.72,15.71,20.28,7.16,44.44,44.44,353
8912,北秩父別,4,17,10,58.82,2,11,8,9,4,1,25,0,0,0,0,0,4.35,17.39,0,8.7,8.7,21.74,4.35,13.04,21.74,0,0,0
8913,石狩沼田,140,843,398,47.21,96,505,244,"1,112",391,151,39,18,"94,695",99,5,103,8.06,7.82,9.95,11.73,13.39,11.73,15.4,14.34,7.58,61.11,33.33,661
8914,真布,4,16,9,56.25,6,13,8,16,4,0,0,0,0,0,0,0,10.71,10.71,7.14,17.86,3.57,14.29,10.71,10.71,14.29,0,0,0
8915,恵比島,10,15,5,33.33,0,8,8,18,10,4,40,0,0,1,0,0,0,0,11.11,5.56,5.56,11.11,27.78,33.33,5.56,0,0,1
8918,幌糠,1,115,53,46.09,11,56,54,92,47,8,17,3,"10,844",5,0,0,4.92,8.2,4.92,7.38,10.66,11.48,18.03,27.05,7.38,33.33,66.67,28
8920,大和田,2,122,62,50.82,6,73,50,108,55,13,24,1,0,7,0,0,2.33,4.65,7.75,8.53,8.53,16.28,24.81,13.95,13.18,100,0,34
8921,留萌,108,"1,649",759,46.03,180,"1,010",459,"2,854",761,305,40,62,"538,838",279,22,4,7.03,7.28,8.91,13.83,12.37,14.98,13.52,11.64,10.43,50,33.87,"2,238"
8922,瀬越,19,"1,250",615,49.2,149,767,333,"1,363",609,238,39,9,"27,099",47,3,152,7.84,7.44,6.32,14.24,13.36,15.12,16.72,12.96,6,33.33,55.56,636
8924,阿分,6,155,74,47.74,13,83,59,128,61,14,23,1,0,4,0,12,6.37,3.18,3.82,9.55,8.28,19.11,17.2,16.56,15.92,100,0,20
8925,信砂,4,149,64,42.95,13,89,48,143,65,22,34,0,0,3,0,22,6.58,5.26,7.24,5.26,15.13,17.11,17.76,13.82,11.84,0,0,18
8927,朱文別,2,78,37,47.44,2,32,44,89,37,12,32,1,0,3,0,12,1.27,2.53,3.8,8.86,6.33,15.19,13.92,25.32,22.78,0,100,23
8928,箸別,4,118,50,42.37,2,43,70,88,49,14,29,0,0,4,0,0,2.56,0.85,5.98,5.13,2.56,15.38,14.53,21.37,31.62,0,0,5
8929,増毛,2,686,302,44.02,70,346,270,"1,144",292,94,32,11,"72,837",86,6,71,6.26,6.26,7.13,10.77,10.33,11.06,17.9,15.72,14.56,54.55,45.45,724
8930,旭川,"14,804","1,564",676,43.22,142,934,462,"9,131",900,509,57,176,"3,389,721",936,101,11,6.12,5.6,10.61,12.49,12.75,13.53,16.59,12.69,9.63,73.86,23.3,"8,621"
8931,神楽岡,72,"2,834","1,267",44.71,339,"1,631",857,"2,454","1,271",388,31,15,"111,881",102,3,586,8.02,7.71,7.1,12.87,11.84,13.5,16.83,14.03,8.09,53.33,33.33,572
8932,緑が丘,138,"2,001",931,46.53,247,"1,325",426,"1,396",727,108,15,5,"36,282",33,1,0,7.16,11.21,8.51,9.31,15.22,18.22,15.07,8.81,6.51,20,40,671
